 ferrocene-based macrocycle                                       Feff 8.50L
 Dinnebier et al,  Organometallics 2001, 20, 5642-5647
 doi:10.1021/om0105066
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.259 Rnm= 1.308 K  shell
 Pot 1 Z=26 Rmt= 1.298 Rnm= 1.358
 Pot 2 Z= 6 Rmt= 0.856 Rnm= 1.054
 Pot 3 Z= 5 Rmt= 0.932 Rnm= 1.069
 Pot 4 Z= 7 Rmt= 0.778 Rnm= 0.961
 Pot 5 Z= 8 Rmt= 0.780 Rnm= 0.992
 Pot 6 Z= 1 Rmt= 0.751 Rnm= 0.908
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.706E+00 kf=2.471E+00 Vint=-1.756E+01 Rs_int= 1.468
 PATH  Rmax= 3.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    6      icalc       2
 -----------------------------------------------------------------------
   2   1.000   2.0808    1.8907    5.70590 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
     0.6150   -1.0296    1.7004  2   6 C     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.5024E+00  7.5155E-05 -2.3600E+00  1.017E+00  2.8772E+01  2.4712E+00
  0.100  3.5015E+00  4.3080E-02 -2.7697E+00  1.017E+00  2.8795E+01  2.4731E+00
  0.200  3.4987E+00  8.5765E-02 -3.1643E+00  1.017E+00  2.8860E+01  2.4789E+00
  0.300  3.4939E+00  1.2767E-01 -3.5447E+00  1.017E+00  2.8961E+01  2.4885E+00
  0.400  3.4872E+00  1.6844E-01 -3.9110E+00  1.018E+00  2.9090E+01  2.5019E+00
  0.500  3.4785E+00  2.0773E-01 -4.2632E+00  1.018E+00  2.9231E+01  2.5191E+00
  0.600  3.4677E+00  2.4527E-01 -4.6016E+00  1.018E+00  2.9368E+01  2.5399E+00
  0.700  3.4547E+00  2.8078E-01 -4.9264E+00  1.019E+00  2.9482E+01  2.5643E+00
  0.800  3.4395E+00  3.1407E-01 -5.2377E+00  1.019E+00  2.9550E+01  2.5921E+00
  0.900  3.4220E+00  3.4497E-01 -5.5359E+00  1.020E+00  2.9551E+01  2.6234E+00
  1.000  3.4021E+00  3.7333E-01 -5.8211E+00  1.020E+00  2.9464E+01  2.6580E+00
  1.100  3.3797E+00  3.9908E-01 -6.0936E+00  1.021E+00  2.9272E+01  2.6958E+00
  1.200  3.3548E+00  4.2212E-01 -6.3535E+00  1.022E+00  2.8961E+01  2.7368E+00
  1.300  3.3272E+00  4.4242E-01 -6.6012E+00  1.023E+00  2.8525E+01  2.7807E+00
